FID,Block Number,x1,y1,dma,Subscription Number,zone,status
3686,4266,32.91150644,24.09484526,3,603614,1134,water
3687,4267,32.91167309,24.09478656,3,724578,1134,water
3688,4268,32.91162058,24.09473276,3,716441,1134,water
3689,4269,32.91150684,24.0947693,3,9699,1134,water
3690,4270,32.9114152,24.09476306,3,0,1134,illegal
3691,4271,32.91136051,24.09478208,3,21810,1134,water
3692,4272,32.91131113,24.09481349,3,60021,1035,water
3693,4273,32.91129485,24.09476826,3,19910,1035,water
3694,4274,32.9112915,24.09471649,3,11957,1035,water
3695,4275,32.91123296,24.09463867,3,19641,1035,water
3696,4276,32.91131919,24.09463766,3,11401,1035,water
3697,4277,32.91140713,24.09466056,3,44367,1134,water
3698,4278,32.91150567,24.0946788,3,0,1134,
3699,4279,32.91162039,24.09465895,3,0,1134,illegal
3700,4280,32.91172424,24.09467396,3,0,1134,water
3701,4281,32.91179511,24.09465113,3,0,1134,illegal
3702,4282,32.91275758,24.09490352,3,9675,1034,water
3703,4283,32.91282394,24.0949167,3,14744,1034,water
3704,4284,32.91290569,24.0949357,3,18990,1034,water
3705,4285,32.91297614,24.09495346,3,14834,1034,water
3706,4286,32.91304497,24.0949721,3,0,1134,illegal
3707,4287,32.91313243,24.0950001,3,14235,1034,water
3708,4288,32.91320285,24.09502471,3,0,1034,
3709,4289,32.91325995,24.0950443,3,21014,1034,water
3710,4290,32.91330589,24.09506024,3,20978,1034,water
3711,4291,32.91335531,24.09507771,3,37763,1034,water
3712,4292,32.9134422,24.09510621,3,0,1034,water
3713,4293,32.91352701,24.09513238,3,55207,1034,water
3714,4294,32.91360347,24.09515547,3,603624,1034,water
3715,4295,32.91355321,24.09524005,3,0,1034,
3716,4296,32.91348579,24.09522171,3,37031,1034,water
3717,4297,32.9133991,24.095196,3,0,1034,non-user
3718,4298,32.91331938,24.09517039,3,0,1034,illegal
3719,4299,32.91326955,24.0951527,3,12137,1034,water
3720,4300,32.91322383,24.09513647,3,12475,1034,water
3721,4301,32.91316541,24.09511602,3,49425,1034,water
3722,4302,32.91308967,24.09508859,3,12133,1034,water
3723,4303,32.91301526,24.09506429,3,12110,1034,water
3724,4304,32.9129433,24.09504442,3,12135,1034,water
3725,4305,32.91287301,24.0950249,3,12139,1034,water
3726,4306,32.91277322,24.09499728,3,12659,1034,water
3727,4307,32.91270567,24.09509637,3,0,1034,illegal
3728,4308,32.91277857,24.09512261,3,0,0,
3729,4309,32.91285384,24.09514695,3,69741,1034,water
3730,4310,32.91291647,24.09516763,3,12153,1034,water
3731,4311,32.91297942,24.09518864,3,12134,1034,water
3732,4312,32.9130497,24.09521145,3,12109,1034,water
3733,4313,32.91312408,24.09523687,3,30524,1034,water
3734,4314,32.91318198,24.09525638,3,24408,1034,water
3735,4315,32.91322392,24.09527135,3,22432,1034,water
3736,4316,32.91327124,24.09528614,3,12310,1034,water
3737,4317,32.91332267,24.09530275,3,27001,1034,water
3738,4318,32.91337807,24.09532134,3,27653,1034,water
3739,4319,32.91343694,24.09533851,3,24990,1034,water
3740,4320,32.91351204,24.09533694,3,0,0,
3741,4321,32.9134876,24.09538708,3,0,1034,illegal
3742,4322,32.91346174,24.09544639,3,67808,1034,water
3743,4323,32.91337829,24.09541907,3,46029,1034,water
3744,4324,32.91327392,24.09538651,3,21876,1034,water
3745,4325,32.91318312,24.09535724,3,11277,1034,water
3746,4326,32.91312767,24.09533932,3,19637,1034,water
3747,4327,32.91307748,24.09532311,3,9694,1034,water
3748,4328,32.91301557,24.09530311,3,22442,1034,water
3749,4329,32.91294681,24.09528089,3,718049,1034,water
3750,4330,32.91288365,24.09526048,3,56413,1034,water
3751,4331,32.91281943,24.09524061,3,45330,1034,water
3752,4332,32.91275604,24.09522386,3,14090,1034,water
3753,4333,32.91270476,24.0952114,3,19209,1034,water
3754,4334,32.91264288,24.09522732,3,14056,1034,water
3755,4335,32.91267131,24.09516638,3,0,0,
3756,4336,32.91257149,24.09533889,3,716003,1034,water
3757,4337,32.91265621,24.09536196,3,3791,1034,water
3758,4338,32.91274925,24.09539466,3,11719,1034,water
3759,4339,32.91285031,24.0953923,3,63368,1034,water
3760,4340,32.91292181,24.09542424,3,9720,1034,water
3761,4341,32.91297972,24.09544204,3,0,1034,illegal
