Block Number,X,Y,DMA,Zone,Status
1997,32.91929128,24.09305184,1,1135,water meter
1998,32.9194807,24.09307621,1,1135,water meter
1999,32.91957863,24.09307302,1,1135,water meter
2000,32.91892046,24.09306098,1,1135,non-user
2001,32.91886295,24.09313746,1,1135,water meter
2002,32.91885966,24.09319324,1,1135,water meter
2003,32.91880049,24.09326814,1,1135,water meter
2004,32.91880684,24.0933969,1,1135,illegal connection
2005,32.91881156,24.09348103,1,1135,water meter
2006,32.91882769,24.0936192,1,1135,illegal connection
2007,32.91895605,24.09364806,1,1135,water meter
2008,32.91896689,24.09357432,1,1135,water meter
2009,32.91904865,24.09364923,1,1135,water meter
2010,32.91915374,24.09363597,1,1135,water meter
2011,32.91913097,24.09371577,1,1135,water meter
2012,32.91910596,24.09380375,1,1135,water meter
2014,32.91908214,24.09387291,1,1135,illegal connection
2015,32.91903026,24.09393851,1,1135,water meter
2017,32.91897612,24.0938713,1,1135,illegal connection
2018,32.91899577,24.09377279,1,1135,water meter
2019,32.91884205,24.09380392,1,1135,illegal connection
2020,32.91885649,24.09388573,1,1035,illegal connection
2022,32.91891662,24.09403717,1,1135,illegal connection
2023,32.91890535,24.0941343,1,1135,non-user
2023,32.91896529,24.09410471,1,1135,non-user
2024,32.91894976,24.09420996,1,1135,water meter
2025,32.91899228,24.09429916,1,1135,water meter
2026,32.91893576,24.09431326,1,1135,water meter
2027,32.91886575,24.09432969,1,1035,water meter
2028,32.91884054,24.09425302,1,1135,water meter
2029,32.91881731,24.09418376,1,1035,water meter
2030,32.91879399,24.09410054,1,1135,water meter
2031,32.91881341,24.09397763,1,1135,water meter
2032,32.91873625,24.09390633,1,1035,water meter
2033,32.91871138,24.09383031,1,1135,water meter
2034,32.91868136,24.09374917,1,1135,water meter
2035,32.91882599,24.09371311,1,1035,non-user
2036,32.91872569,24.09363849,1,1135,non-user
2037,32.91862177,24.09364996,1,1135,water meter
2038,32.9185172,24.09365294,1,1135,water meter
2039,32.91842748,24.09364421,1,1135,illegal connection
2040,32.91834318,24.09364913,1,1135,water meter
2041,32.91833382,24.09351897,1,1135,water meter
2042,32.91840879,24.09354641,1,1135,water meter
2043,32.91849599,24.09356033,1,1135,illegal connection
2044,32.91868686,24.09356719,1,1135,water meter
2045,32.91866906,24.09339265,1,1135,water meter
2046,32.9185633,24.09340038,1,1135,water meter
2047,32.91846925,24.09340112,1,1135,water meter
2048,32.9183878,24.09340549,1,1135,water meter
2049,32.91831533,24.09340771,1,1135,water meter
2050,32.91822128,24.09341368,1,1135,water meter
2051,32.91812395,24.09349652,1,1135,water meter
2052,32.91813132,24.0935893,1,1135,water meter
